ward,precinct,total,democratic,republican,percentDemocratic
1,1,766,667,78,0.870757180156658
1,2,611,540,53,0.88379705400982
1,3,848,766,69,0.903301886792453
1,4,842,733,95,0.870546318289786
1,5,782,696,72,0.89002557544757
1,6,666,559,95,0.839339339339339
1,7,498,438,49,0.879518072289157
1,8,674,594,71,0.881305637982196
1,9,521,442,67,0.848368522072937
1,10,926,802,102,0.866090712742981
1,11,844,758,69,0.898104265402844
1,12,885,731,137,0.825988700564972
1,13,363,317,30,0.873278236914601
1,14,729,651,70,0.893004115226337
1,15,648,539,91,0.83179012345679
1,16,782,682,81,0.872122762148338
1,17,633,559,62,0.883096366508689
1,18,702,640,48,0.911680911680912
1,19,828,744,61,0.898550724637681
1,20,543,499,36,0.918968692449355
1,21,1086,970,88,0.893186003683241
1,22,491,430,46,0.875763747454175
1,23,909,817,65,0.898789878987899
1,24,654,575,56,0.879204892966361
1,25,697,621,60,0.890961262553802
1,26,482,419,56,0.869294605809129
1,27,802,692,94,0.86284289276808
1,28,254,208,40,0.818897637795276
1,29,938,832,84,0.886993603411514
1,30,804,700,85,0.870646766169154
1,31,670,574,85,0.856716417910448
1,32,694,578,100,0.832853025936599
1,33,828,693,121,0.83695652173913
1,34,567,521,34,0.918871252204585
1,35,902,768,113,0.851441241685144
1,36,830,716,93,0.862650602409638
1,37,759,633,111,0.83399209486166
1,38,708,635,59,0.896892655367232
1,39,617,531,75,0.860615883306321
1,40,690,563,113,0.815942028985507
1,41,412,378,25,0.91747572815534
1,42,224,194,24,0.866071428571429
1,43,462,404,51,0.874458874458875
1,44,655,588,48,0.897709923664122
2,1,834,730,87,0.875299760191846
2,2,512,386,118,0.75390625
2,3,842,743,81,0.882422802850356
2,4,746,660,72,0.884718498659517
2,5,885,774,90,0.874576271186441
2,6,781,665,102,0.851472471190781
2,7,695,606,72,0.871942446043165
2,8,937,814,97,0.868729989327641
2,9,724,559,148,0.772099447513812
2,10,540,369,163,0.683333333333333
2,11,731,556,163,0.760601915184679
2,12,624,541,71,0.866987179487179
2,13,595,469,116,0.788235294117647
2,14,751,635,103,0.845539280958722
2,15,701,620,69,0.884450784593438
2,16,704,620,75,0.880681818181818
2,17,818,690,115,0.843520782396088
2,18,664,516,136,0.77710843373494
2,19,490,364,124,0.742857142857143
2,20,966,775,170,0.802277432712215
2,21,769,684,70,0.889466840052016
2,22,788,639,131,0.810913705583756
2,23,469,367,97,0.782515991471215
2,24,687,575,99,0.836972343522562
2,25,834,726,88,0.870503597122302
2,26,669,536,121,0.801195814648729
2,27,649,443,193,0.682588597842835
2,28,837,666,149,0.795698924731183
2,29,815,629,171,0.771779141104294
2,30,608,463,132,0.761513157894737
2,31,812,644,156,0.793103448275862
2,32,620,464,140,0.748387096774194
2,33,1007,765,225,0.759682224428997
2,34,522,391,124,0.74904214559387
2,35,984,767,197,0.779471544715447
2,36,826,629,186,0.761501210653753
2,37,612,482,123,0.787581699346405
2,38,662,495,158,0.74773413897281
2,39,501,331,161,0.660678642714571
2,40,1030,802,211,0.778640776699029
2,41,874,648,204,0.74141876430206
2,42,813,624,171,0.767527675276753
2,43,989,731,238,0.739130434782609
2,44,423,324,90,0.765957446808511
2,45,853,678,156,0.794841735052755
2,46,419,329,79,0.785202863961814
3,1,824,793,29,0.962378640776699
3,2,646,627,17,0.970588235294117
3,3,566,477,85,0.842756183745583
3,4,664,641,15,0.965361445783132
3,5,364,324,28,0.89010989010989
3,6,955,793,146,0.830366492146597
3,7,394,373,19,0.946700507614213
3,8,497,468,20,0.941649899396378
3,9,671,639,22,0.95230998509687
3,10,315,298,14,0.946031746031746
3,11,653,622,25,0.952526799387443
3,12,585,554,21,0.947008547008547
3,13,781,676,98,0.865556978233034
3,14,771,669,88,0.867704280155642
3,15,574,547,22,0.952961672473868
3,16,479,456,18,0.951983298538622
3,17,961,877,74,0.912591050988553
3,18,887,816,55,0.919954904171364
3,19,830,668,144,0.804819277108434
3,20,652,619,22,0.949386503067485
3,21,730,611,110,0.836986301369863
3,22,957,794,149,0.829676071055381
3,23,539,493,38,0.914656771799629
3,24,521,494,21,0.948176583493282
3,25,1220,994,210,0.814754098360656
3,26,770,648,111,0.841558441558441
3,27,867,678,178,0.782006920415225
3,28,382,352,25,0.921465968586387
3,29,668,635,25,0.95059880239521
3,30,532,512,14,0.962406015037594
3,31,714,682,24,0.955182072829131
3,32,1100,948,126,0.861818181818182
3,33,865,742,104,0.857803468208092
3,34,1038,899,122,0.866088631984586
3,35,325,304,16,0.935384615384615
3,36,295,283,8,0.959322033898305
3,37,533,513,16,0.962476547842402
3,38,451,433,14,0.960088691796009
3,39,1346,1156,171,0.858841010401189
3,40,685,611,64,0.891970802919708
3,41,519,463,51,0.892100192678227
4,1,940,877,44,0.932978723404255
4,2,902,783,101,0.868070953436807
4,3,525,504,17,0.96
4,4,822,773,39,0.940389294403893
4,5,642,609,24,0.948598130841122
4,6,746,680,62,0.911528150134048
4,7,787,748,28,0.950444726810674
4,8,700,656,27,0.937142857142857
4,9,670,640,29,0.955223880597015
4,10,788,756,19,0.959390862944162
4,11,645,618,18,0.958139534883721
4,12,786,757,25,0.963104325699745
4,13,952,811,114,0.851890756302521
4,14,643,600,40,0.933125972006221
4,15,698,663,29,0.949856733524355
4,16,1218,1035,163,0.849753694581281
4,17,813,712,87,0.875768757687577
4,18,611,583,20,0.95417348608838
4,19,532,498,29,0.93609022556391
4,20,573,471,90,0.821989528795812
4,21,794,687,94,0.865239294710328
4,22,639,596,33,0.932707355242566
4,23,814,776,24,0.953316953316953
4,24,610,573,29,0.939344262295082
4,25,893,768,108,0.860022396416573
4,26,577,549,24,0.951473136915078
4,27,872,826,36,0.947247706422018
4,28,579,532,42,0.918825561312608
4,29,607,584,17,0.962108731466227
4,30,866,834,27,0.963048498845266
4,31,602,561,32,0.931893687707641
4,32,694,653,28,0.940922190201729
4,33,611,580,22,0.949263502454992
4,34,576,533,27,0.925347222222222
4,35,726,676,45,0.931129476584022
4,36,772,730,34,0.94559585492228
4,37,1283,1119,146,0.872174590802806
4,38,684,652,26,0.953216374269006
5,1,557,529,18,0.949730700179533
5,2,447,432,13,0.966442953020134
5,3,646,603,25,0.93343653250774
5,4,784,746,25,0.951530612244898
5,5,561,534,19,0.951871657754011
5,6,473,436,31,0.921775898520085
5,7,620,578,33,0.932258064516129
5,8,656,617,30,0.940548780487805
5,9,723,686,26,0.948824343015214
5,10,500,480,15,0.96
5,11,608,567,30,0.932565789473684
5,12,379,349,24,0.920844327176781
5,13,522,496,19,0.950191570881226
5,14,463,449,10,0.96976241900648
5,15,617,577,27,0.93517017828201
5,16,561,539,15,0.96078431372549
5,17,496,469,23,0.945564516129032
5,18,567,540,16,0.952380952380952
5,19,574,534,31,0.930313588850174
5,20,653,614,31,0.940275650842266
5,21,614,579,26,0.94299674267101
5,22,708,668,31,0.943502824858757
5,23,1064,984,64,0.924812030075188
5,24,751,705,36,0.938748335552596
5,25,535,510,17,0.953271028037383
5,26,568,537,26,0.945422535211268
5,27,656,598,44,0.911585365853659
5,28,599,559,29,0.93322203672788
5,29,610,581,21,0.952459016393443
5,30,387,367,16,0.948320413436692
5,31,446,426,17,0.955156950672646
5,32,638,609,20,0.954545454545455
5,33,627,611,13,0.974481658692185
5,34,673,623,40,0.925705794947994
5,35,773,724,38,0.936610608020699
5,36,384,364,15,0.947916666666667
5,37,635,594,29,0.935433070866142
5,38,562,537,20,0.955516014234875
5,39,530,480,41,0.905660377358491
5,40,454,419,24,0.922907488986784
5,41,287,277,8,0.965156794425087
6,1,497,482,15,0.969818913480885
6,2,473,453,16,0.957716701902748
6,3,513,495,17,0.964912280701754
6,4,368,350,13,0.951086956521739
6,5,334,316,15,0.946107784431138
6,6,547,521,18,0.952468007312614
6,7,474,454,17,0.957805907172996
6,8,477,465,9,0.974842767295598
6,9,475,456,13,0.96
6,10,364,346,13,0.95054945054945
6,11,408,387,19,0.948529411764706
6,12,381,349,27,0.916010498687664
6,13,359,344,11,0.958217270194986
6,14,444,429,11,0.966216216216216
6,15,441,412,23,0.934240362811791
6,16,498,478,15,0.959839357429719
6,17,344,319,21,0.927325581395349
6,18,383,373,5,0.973890339425587
6,19,414,398,13,0.961352657004831
6,20,312,300,10,0.961538461538462
6,21,250,232,12,0.928
6,22,315,295,17,0.936507936507936
6,23,281,263,14,0.935943060498221
6,24,269,247,17,0.9182156133829
6,25,262,248,13,0.946564885496183
6,26,374,349,15,0.933155080213904
6,27,294,279,11,0.948979591836735
6,28,249,237,10,0.951807228915663
6,29,486,465,14,0.95679012345679
6,30,404,379,17,0.938118811881188
6,31,468,451,14,0.963675213675213
6,32,446,424,19,0.95067264573991
6,33,464,435,25,0.9375
6,34,480,475,4,0.989583333333333
6,35,434,413,16,0.951612903225806
6,36,513,500,10,0.974658869395711
6,37,485,455,25,0.938144329896907
6,38,502,485,11,0.966135458167331
6,39,407,392,12,0.963144963144963
6,40,423,410,12,0.969267139479905
6,41,474,448,22,0.945147679324894
6,42,481,459,14,0.954261954261954
6,43,446,424,14,0.95067264573991
6,44,551,526,23,0.954627949183303
6,45,474,461,11,0.972573839662447
6,46,356,348,6,0.97752808988764
6,47,348,331,13,0.951149425287356
6,48,464,446,15,0.961206896551724
7,1,479,455,18,0.949895615866388
7,2,485,454,23,0.936082474226804
7,3,453,437,12,0.964679911699779
7,4,442,427,11,0.96606334841629
7,5,440,407,28,0.925
7,6,585,557,19,0.952136752136752
7,7,462,437,21,0.945887445887446
7,8,370,338,27,0.913513513513514
7,9,766,723,36,0.943864229765013
7,10,515,499,11,0.968932038834952
7,11,529,509,15,0.962192816635161
7,12,467,437,23,0.93576017130621
7,13,312,301,9,0.96474358974359
7,14,540,505,30,0.935185185185185
7,15,444,435,7,0.97972972972973
7,16,455,418,29,0.918681318681318
7,17,363,347,14,0.955922865013774
7,18,454,422,25,0.929515418502203
7,19,430,410,14,0.953488372093023
7,20,361,345,12,0.955678670360111
7,21,347,322,19,0.927953890489914
7,22,403,374,25,0.928039702233251
7,23,416,404,10,0.971153846153846
7,24,385,365,16,0.948051948051948
7,25,388,342,38,0.881443298969072
7,26,345,324,17,0.939130434782609
7,27,362,351,4,0.969613259668508
7,28,361,334,21,0.925207756232687
7,29,402,379,18,0.942786069651741
7,30,360,333,23,0.925
7,31,335,300,29,0.895522388059701
7,32,550,526,21,0.956363636363636
7,33,547,528,16,0.96526508226691
7,34,542,519,17,0.957564575645756
7,35,478,449,21,0.939330543933054
7,36,535,512,19,0.957009345794392
7,37,464,438,22,0.943965517241379
7,38,384,372,9,0.96875
7,39,403,394,8,0.977667493796526
7,40,384,370,8,0.963541666666667
7,41,423,405,12,0.957446808510638
7,42,398,389,7,0.977386934673367
7,43,423,402,19,0.950354609929078
7,44,389,370,13,0.951156812339332
7,45,476,449,21,0.94327731092437
7,46,175,167,5,0.954285714285714
8,1,412,388,15,0.941747572815534
8,2,446,425,16,0.952914798206278
8,3,499,486,9,0.973947895791583
8,4,507,497,7,0.980276134122288
8,5,488,474,7,0.971311475409836
8,6,452,430,18,0.951327433628319
8,7,515,485,28,0.941747572815534
8,8,455,439,13,0.964835164835165
8,9,301,290,11,0.963455149501661
8,10,560,535,21,0.955357142857143
8,11,382,362,14,0.947643979057592
8,12,404,383,19,0.948019801980198
8,13,536,511,17,0.953358208955224
8,14,407,384,17,0.943488943488944
8,15,435,412,16,0.947126436781609
8,16,152,142,9,0.93421052631579
8,17,397,384,7,0.967254408060453
8,18,461,430,29,0.932754880694143
8,19,495,475,17,0.95959595959596
8,20,533,515,13,0.966228893058161
8,21,596,574,19,0.963087248322148
8,22,427,404,16,0.946135831381733
8,23,380,368,10,0.968421052631579
8,24,264,253,8,0.958333333333333
8,25,473,444,24,0.938689217758985
8,26,424,407,13,0.959905660377358
8,27,511,485,22,0.949119373776908
8,28,466,447,17,0.959227467811159
8,29,522,499,15,0.955938697318008
8,30,511,482,17,0.943248532289628
8,31,363,345,15,0.950413223140496
8,32,368,353,10,0.959239130434783
8,33,385,367,14,0.953246753246753
8,34,430,418,10,0.972093023255814
8,35,539,517,14,0.959183673469388
8,36,467,453,8,0.970021413276231
8,37,362,353,6,0.975138121546961
8,38,353,346,6,0.980169971671388
8,39,449,434,8,0.966592427616926
8,40,387,376,10,0.971576227390181
8,41,506,487,15,0.962450592885376
8,42,594,573,17,0.964646464646465
8,43,272,252,16,0.926470588235294
8,44,353,336,12,0.951841359773371
8,45,420,401,13,0.954761904761905
8,46,374,353,17,0.943850267379679
8,47,389,367,18,0.943444730077121
8,48,433,418,10,0.965357967667436
8,49,427,409,15,0.957845433255269
8,50,465,445,14,0.956989247311828
8,51,470,454,14,0.965957446808511
8,52,560,546,12,0.975
8,53,278,265,9,0.953237410071942
8,54,401,363,27,0.905236907730673
8,55,366,346,17,0.945355191256831
8,56,480,470,5,0.979166666666667
9,1,441,422,14,0.956916099773243
9,2,353,339,9,0.960339943342776
9,3,329,309,15,0.939209726443769
9,4,346,340,3,0.982658959537572
9,5,432,420,7,0.972222222222222
9,6,415,403,9,0.971084337349398
9,7,339,318,17,0.938053097345133
9,8,471,445,21,0.9447983014862
9,9,507,494,10,0.974358974358974
9,10,346,334,10,0.965317919075144
9,11,322,306,14,0.950310559006211
9,12,504,474,25,0.94047619047619
9,13,491,477,12,0.971486761710794
9,14,494,475,17,0.961538461538462
9,15,571,533,30,0.933450087565674
9,16,419,399,14,0.952267303102625
9,17,344,328,10,0.953488372093023
9,18,317,310,5,0.977917981072555
9,19,436,424,8,0.972477064220183
9,20,413,396,10,0.958837772397094
9,21,424,406,17,0.957547169811321
9,22,478,447,27,0.935146443514644
9,23,499,484,10,0.969939879759519
9,24,441,419,16,0.950113378684807
9,25,428,414,10,0.967289719626168
9,26,559,525,24,0.939177101967799
9,27,367,354,9,0.964577656675749
9,28,286,260,26,0.909090909090909
9,29,396,377,16,0.952020202020202
9,30,381,360,21,0.94488188976378
9,31,364,346,15,0.95054945054945
9,32,445,420,22,0.943820224719101
9,33,338,322,14,0.952662721893491
9,34,366,345,17,0.942622950819672
9,35,405,385,13,0.950617283950617
9,36,381,369,8,0.968503937007874
9,37,670,566,88,0.844776119402985
9,38,431,412,14,0.955916473317865
9,39,461,448,10,0.971800433839479
9,40,480,462,13,0.9625
9,41,369,352,14,0.953929539295393
9,42,455,435,15,0.956043956043956
9,43,411,385,19,0.936739659367396
9,44,373,365,8,0.978552278820375
9,45,363,350,9,0.964187327823691
9,46,417,389,23,0.932853717026379
9,47,456,445,5,0.975877192982456
9,48,462,446,14,0.965367965367965
9,49,478,460,15,0.96234309623431
9,50,603,579,19,0.960199004975124
9,51,423,408,12,0.964539007092198
10,1,388,349,34,0.899484536082474
10,2,486,290,189,0.596707818930041
10,3,525,343,177,0.653333333333333
10,4,385,352,30,0.914285714285714
10,5,412,267,138,0.648058252427184
10,6,428,329,94,0.768691588785047
10,7,365,298,61,0.816438356164383
10,8,269,245,21,0.910780669144982
10,9,481,304,174,0.632016632016632
10,10,531,388,136,0.730696798493409
10,11,619,491,118,0.793214862681745
10,12,354,261,89,0.73728813559322
10,13,437,378,53,0.864988558352403
10,14,624,488,131,0.782051282051282
10,15,799,764,25,0.956195244055069
10,16,390,267,112,0.684615384615385
10,17,656,420,224,0.640243902439024
10,18,288,268,16,0.930555555555556
10,19,515,361,147,0.700970873786408
10,20,515,404,105,0.784466019417476
10,21,513,382,124,0.744639376218323
10,22,288,234,49,0.8125
10,23,425,347,71,0.816470588235294
10,24,511,303,204,0.592954990215264
10,25,141,134,5,0.950354609929078
10,26,355,304,43,0.856338028169014
10,27,438,399,37,0.910958904109589
10,28,553,455,92,0.822784810126582
10,29,516,421,87,0.815891472868217
10,30,454,361,81,0.795154185022026
10,31,414,354,54,0.855072463768116
10,32,514,391,120,0.760700389105058
10,33,382,324,54,0.848167539267016
10,34,344,305,36,0.886627906976744
10,35,532,353,173,0.663533834586466
10,36,131,114,15,0.870229007633588
11,1,627,443,166,0.706539074960128
11,2,54,39,15,0.722222222222222
11,3,607,540,51,0.889621087314662
11,4,523,377,140,0.720841300191205
11,5,762,592,141,0.776902887139108
11,6,904,767,122,0.848451327433628
11,7,568,500,59,0.880281690140845
11,8,565,418,139,0.739823008849558
11,9,539,358,166,0.664192949907236
11,10,620,412,199,0.664516129032258
11,11,682,467,204,0.68475073313783
11,12,772,339,420,0.439119170984456
11,13,748,334,400,0.446524064171123
11,14,422,238,177,0.563981042654028
11,15,247,173,68,0.700404858299595
11,16,447,274,163,0.612975391498881
11,17,716,541,155,0.755586592178771
11,18,517,322,183,0.622823984526112
11,19,783,590,165,0.753512132822477
11,20,445,264,174,0.593258426966292
11,21,705,398,291,0.564539007092199
11,22,737,500,223,0.67842605156038
11,23,340,204,122,0.6
11,24,640,369,259,0.5765625
11,25,742,537,187,0.723719676549865
11,26,630,423,189,0.671428571428571
11,27,258,166,86,0.643410852713178
11,28,292,156,131,0.534246575342466
11,29,699,404,283,0.577968526466381
11,30,352,220,132,0.625
11,31,607,325,276,0.535420098846787
11,32,276,127,143,0.460144927536232
11,33,771,607,150,0.787289234760052
11,34,249,152,96,0.610441767068273
11,35,138,82,52,0.594202898550725
11,36,300,196,99,0.653333333333333
11,37,230,177,48,0.769565217391304
11,38,307,261,35,0.850162866449511
12,1,505,397,92,0.786138613861386
12,2,463,377,79,0.814254859611231
12,3,621,506,98,0.814814814814815
12,4,584,453,111,0.775684931506849
12,5,493,335,149,0.679513184584178
12,6,630,486,127,0.771428571428571
12,7,475,418,39,0.88
12,8,538,409,116,0.760223048327137
12,9,467,359,96,0.768736616702356
12,10,645,584,45,0.905426356589147
12,11,559,453,102,0.810375670840787
12,12,520,420,94,0.807692307692308
12,13,577,459,111,0.795493934142114
12,14,464,415,42,0.894396551724138
12,15,467,407,51,0.87152034261242
12,16,460,402,49,0.873913043478261
12,17,597,481,103,0.805695142378559
12,18,445,385,45,0.865168539325843
12,19,514,403,101,0.784046692607004
12,20,605,494,101,0.816528925619835
12,21,541,450,80,0.831792975970425
12,22,482,419,44,0.869294605809129
12,23,549,439,99,0.799635701275046
13,1,433,260,166,0.600461893764434
13,2,366,192,171,0.524590163934426
13,3,370,303,59,0.818918918918919
13,4,502,265,229,0.527888446215139
13,5,530,424,98,0.8
13,6,426,205,217,0.481220657276995
13,7,383,279,90,0.72845953002611
13,8,349,222,125,0.636103151862464
13,9,474,369,95,0.778481012658228
13,10,400,160,234,0.4
13,11,482,287,194,0.595435684647303
13,12,424,304,113,0.716981132075472
13,13,428,327,97,0.764018691588785
13,14,435,326,101,0.749425287356322
13,15,637,521,104,0.817896389324961
13,16,325,276,48,0.849230769230769
13,17,394,253,136,0.642131979695431
13,18,378,205,166,0.542328042328042
13,19,563,481,68,0.854351687388987
13,20,323,156,164,0.48297213622291
13,21,525,248,267,0.472380952380952
13,22,514,260,245,0.505836575875486
13,23,371,295,68,0.795148247978436
13,24,448,317,128,0.707589285714286
13,25,456,351,100,0.769736842105263
13,26,464,304,150,0.655172413793103
13,27,448,289,153,0.645089285714286
13,28,344,270,73,0.784883720930232
13,29,361,262,98,0.725761772853185
13,30,352,305,42,0.866477272727273
13,31,506,255,245,0.50395256916996
13,32,407,178,225,0.437346437346437
13,33,432,217,207,0.502314814814815
13,34,437,378,55,0.864988558352403
13,35,395,297,90,0.751898734177215
13,36,318,258,56,0.811320754716981
13,37,446,364,78,0.816143497757848
13,38,385,189,191,0.490909090909091
13,39,418,332,80,0.794258373205742
13,40,446,306,130,0.68609865470852
13,41,525,448,67,0.853333333333333
13,42,471,223,243,0.473460721868365
13,43,452,306,138,0.676991150442478
13,44,460,384,71,0.834782608695652
13,45,471,283,182,0.600849256900212
13,46,507,376,117,0.741617357001972
13,47,521,426,86,0.817658349328215
13,48,394,216,174,0.548223350253807
14,1,559,254,301,0.45438282647585
14,2,647,515,120,0.795981452859351
14,3,484,404,77,0.834710743801653
14,4,531,268,257,0.504708097928437
14,5,699,609,80,0.871244635193133
14,6,260,222,32,0.853846153846154
14,7,637,513,114,0.805337519623234
14,8,599,447,137,0.746243739565943
14,9,638,370,261,0.579937304075235
14,10,356,276,75,0.775280898876405
14,11,287,253,33,0.881533101045296
14,12,548,397,147,0.724452554744526
14,13,446,354,84,0.79372197309417
14,14,481,402,71,0.835758835758836
14,15,525,463,54,0.881904761904762
14,16,367,290,74,0.790190735694823
14,17,429,353,72,0.822843822843823
14,18,240,175,60,0.729166666666667
14,19,462,378,74,0.818181818181818
14,20,375,301,66,0.802666666666667
14,21,470,385,75,0.819148936170213
14,22,706,467,228,0.661473087818697
14,23,423,291,131,0.687943262411348
14,24,605,321,277,0.530578512396694
14,25,288,235,47,0.815972222222222
14,26,373,333,34,0.892761394101877
14,27,500,372,110,0.744
14,28,408,310,86,0.759803921568627
14,29,375,314,55,0.837333333333333
14,30,323,295,26,0.913312693498452
14,31,261,213,41,0.816091954022988
15,1,427,363,49,0.850117096018735
15,2,267,255,11,0.955056179775281
15,3,285,274,9,0.96140350877193
15,4,495,428,58,0.864646464646465
15,5,465,394,61,0.847311827956989
15,6,504,409,85,0.811507936507936
15,7,289,273,12,0.944636678200692
15,8,481,406,69,0.844074844074844
15,9,642,544,89,0.847352024922118
15,10,661,531,114,0.803328290468986
15,11,589,481,103,0.816638370118845
15,12,580,478,94,0.824137931034483
15,13,482,403,67,0.836099585062241
15,14,429,375,49,0.874125874125874
15,15,430,364,61,0.846511627906977
15,16,540,467,64,0.864814814814815
15,17,278,259,12,0.931654676258993
15,18,260,243,16,0.934615384615385
15,19,407,364,37,0.894348894348894
15,20,285,274,10,0.96140350877193
15,21,235,225,8,0.957446808510638
15,22,293,265,21,0.904436860068259
15,23,306,295,8,0.964052287581699
15,24,291,268,18,0.920962199312715
16,1,574,488,70,0.850174216027875
16,2,347,321,23,0.92507204610951
16,3,315,295,18,0.936507936507936
16,4,407,378,23,0.928746928746929
16,5,257,242,9,0.941634241245136
16,6,322,310,8,0.962732919254658
16,7,358,337,19,0.941340782122905
16,8,257,240,13,0.933852140077821
16,9,334,325,7,0.973053892215569
16,10,324,308,15,0.950617283950617
16,11,373,345,22,0.924932975871314
16,12,328,298,21,0.908536585365854
16,13,425,383,31,0.901176470588235
16,14,286,267,13,0.933566433566434
16,15,346,327,15,0.945086705202312
16,16,314,302,10,0.961783439490446
16,17,482,427,52,0.885892116182573
16,18,418,382,31,0.913875598086124
16,19,360,329,24,0.913888888888889
16,20,272,259,11,0.952205882352941
16,21,314,297,13,0.945859872611465
16,22,333,307,18,0.921921921921922
16,23,492,432,51,0.878048780487805
16,24,183,175,8,0.956284153005464
16,25,408,383,19,0.938725490196078
16,26,272,260,8,0.955882352941176
16,27,281,265,12,0.94306049822064
16,28,325,308,13,0.947692307692308
16,29,304,292,12,0.960526315789473
16,30,290,270,16,0.931034482758621
16,31,347,321,16,0.92507204610951
16,32,479,412,58,0.860125260960334
16,33,290,276,7,0.951724137931034
16,34,308,289,11,0.938311688311688
16,35,529,471,54,0.890359168241966
16,36,247,225,18,0.910931174089069
17,1,489,428,53,0.875255623721881
17,2,429,411,14,0.958041958041958
17,3,427,399,25,0.934426229508197
17,4,519,487,26,0.938342967244701
17,5,334,317,15,0.949101796407186
17,6,443,411,27,0.927765237020316
17,7,428,397,28,0.927570093457944
17,8,400,365,28,0.9125
17,9,329,313,9,0.951367781155015
17,10,550,508,34,0.923636363636363
17,11,332,318,14,0.957831325301205
17,12,601,525,67,0.873544093178037
17,13,354,338,14,0.954802259887006
17,14,484,451,33,0.931818181818182
17,15,439,415,20,0.945330296127563
17,16,496,456,35,0.919354838709677
17,17,435,403,29,0.926436781609195
17,18,467,453,11,0.970021413276231
17,19,255,243,11,0.952941176470588
17,20,508,493,13,0.970472440944882
17,21,502,492,8,0.9800796812749
17,22,396,376,18,0.94949494949495
17,23,284,271,12,0.954225352112676
17,24,438,423,11,0.965753424657534
17,25,350,331,13,0.945714285714286
17,26,438,425,12,0.970319634703196
17,27,401,384,13,0.957605985037406
17,28,345,334,11,0.968115942028986
17,29,422,406,12,0.962085308056872
17,30,421,365,52,0.866983372921615
17,31,254,248,4,0.976377952755906
17,32,343,327,9,0.9533527696793
17,33,290,216,19,0.744827586206897
17,34,291,281,8,0.965635738831615
17,35,291,282,3,0.969072164948454
17,36,390,371,15,0.951282051282051
17,37,334,313,18,0.937125748502994
17,38,474,459,13,0.968354430379747
17,39,423,400,17,0.945626477541371
17,40,449,432,15,0.962138084632517
17,41,546,524,16,0.95970695970696
18,1,444,404,30,0.90990990990991
18,2,528,431,93,0.816287878787879
18,3,444,322,121,0.725225225225225
18,4,487,453,25,0.930184804928131
18,5,287,275,9,0.958188153310104
18,6,437,307,121,0.702517162471396
18,7,493,420,64,0.851926977687627
18,8,459,439,17,0.956427015250545
18,9,435,415,18,0.954022988505747
18,10,563,534,22,0.948490230905862
18,11,440,376,58,0.854545454545455
18,12,436,414,18,0.94954128440367
18,13,499,459,35,0.919839679358718
